iter	MultiClass
233	0.6567669217
234	0.6566818177
235	0.6566328305
236	0.6565680317
237	0.6565232233
238	0.6563681326
239	0.6563158694
240	0.6561685997
241	0.6560421011
242	0.6559870996
243	0.6558715091
244	0.6557638348
245	0.6556671978
246	0.655615675
247	0.6555668558
248	0.6554173195
249	0.65526244
250	0.6552261997
251	0.6551713777
252	0.6550725571
253	0.6549763508
254	0.6548803713
255	0.654795178
256	0.6547320133
257	0.6546892045
258	0.6545589713
259	0.6544747676
260	0.654371547
261	0.6542296667
262	0.6541797459
263	0.6540142284
264	0.6538645903
265	0.6538303196
266	0.6536473032
267	0.6535796699
268	0.6535435938
269	0.6534942931
270	0.6534195573
271	0.6533661743
272	0.6533006166
273	0.6532752434
274	0.6532045855
275	0.6531450961
276	0.6530969526
277	0.6530328503
278	0.6529250877
279	0.6528668496
280	0.6527782554
281	0.6527174388
282	0.6526878875
283	0.6526543655
284	0.6526239053
285	0.6525127843
286	0.6524429067
287	0.6524110516
288	0.6523708837
289	0.6523568477
290	0.6522993589
291	0.6522583913
292	0.6521931967
293	0.6521033004
294	0.6520824419
295	0.6519778958
296	0.6517770092
297	0.6517334843
298	0.6516725448
299	0.6516220825
300	0.6516083002
301	0.6515057989
302	0.6514547978
303	0.6514274887
304	0.6514017139
305	0.6512958234
306	0.6512638647
307	0.6512041483
308	0.6511855993
309	0.6511322308
310	0.6510476881
311	0.6509717853
312	0.6509254918
313	0.65089153
314	0.650818846
315	0.6506642086
316	0.6504622674
317	0.6504331861
318	0.6503729423
319	0.6502326833
320	0.6501528838
321	0.6501058624
322	0.650082629
323	0.650026079
324	0.6499974518
325	0.6499550475
326	0.649918446
327	0.6498832443
328	0.6498255594
329	0.6498099933
330	0.6497831547
331	0.6497205438
332	0.6496827765
333	0.6496351896
334	0.6495139635
335	0.6494719562
336	0.6494031286
337	0.6493570695
338	0.6493099971
339	0.6492295466
340	0.6491036382
341	0.6490935496
342	0.6490363702
343	0.6489446914
344	0.6489255586
345	0.6488967685
346	0.6488147814
347	0.648770666
348	0.6487487887
349	0.6487049788
350	0.6486512676
351	0.6486122245
352	0.6485580045
353	0.6484818599
354	0.6483896332
355	0.6483564668
356	0.6483037174
357	0.6482644835
358	0.6482092131
359	0.64811767
360	0.6480812334
361	0.6480338852
362	0.6480094479
363	0.6479516783
364	0.6479098626
365	0.6478753759
366	0.6478284642
367	0.6477301031
368	0.6476573801
369	0.6476184473
370	0.6475661295
371	0.6475375766
372	0.6475105018
373	0.6473599079
374	0.6472141144
375	0.6471779216
376	0.6471439506
377	0.6471104683
378	0.6470931351
379	0.6470109941
380	0.6469138289
381	0.6468438356
382	0.6468140646
383	0.6467758193
384	0.6466911596
385	0.6466652312
386	0.6466174449
387	0.6465656244
388	0.6464693472
389	0.6464411591
390	0.6463969273
391	0.6462511877
392	0.6462035455
393	0.6461297139
394	0.6461022594
395	0.6460378999
396	0.6459475251
397	0.6459183206
398	0.6459100733
399	0.6458409979
400	0.6457469133
401	0.6457305635
402	0.6456723521
403	0.6455738202
404	0.6455426077
405	0.6454890799
406	0.6454643605
407	0.6453334366
408	0.6452623836
409	0.6451109973
410	0.6450529595
411	0.6450103636
412	0.6449038354
413	0.6448694842
414	0.644850458
415	0.644780425
416	0.6446872766
417	0.6446480089
418	0.6445931703
419	0.6445332901
420	0.6445068098
421	0.6444626681
422	0.6443433449
423	0.6443264371
424	0.6443124385
425	0.6442812296
426	0.6442049721
427	0.6441689606
428	0.6441181119
429	0.6440369356
430	0.6439753024
431	0.6438587187
432	0.6438303397
433	0.64377616
434	0.6437259843
435	0.6437086433
436	0.6436662621
437	0.6436525964
438	0.6436205162
439	0.6435757901
440	0.6435257426
441	0.6434750525
442	0.6434539928
443	0.6434097787
444	0.6433671988
445	0.6433323775
446	0.6432567173
447	0.643247193
448	0.6432042381
449	0.6431570645
450	0.6429904308
451	0.6429589399
452	0.6429430539
453	0.6428872922
454	0.6428435685
455	0.6428294249
456	0.6427860974
457	0.6427569159
458	0.6427201586
459	0.6426870388
460	0.6425923202
461	0.6425690035
462	0.6425357198
463	0.6425005653
464	0.6424719758
465	0.642401007
466	0.6423360582
467	0.6423051092
468	0.6422565264
469	0.6422056115
470	0.6421648358
471	0.6420986076
472	0.6420667118
473	0.6420460472
474	0.6420082013
475	0.6418269363
476	0.6417911988
477	0.6417078107
478	0.6416208352
479	0.6415597317
480	0.6414859169
481	0.6414408131
482	0.6414144776
483	0.6413665026
484	0.6413372267
485	0.6412965086
486	0.6412309349
487	0.6411546223
488	0.6410766022
489	0.6410670171
490	0.6409185239
491	0.6408193599
492	0.6407893463
493	0.6407241738
494	0.6406958963
495	0.6406708163
496	0.6406618467
497	0.6406508884
498	0.6406122961
499	0.6405132269
500	0.6404622618
501	0.6404183613
502	0.6403597423
503	0.6403317731
504	0.6403049166
505	0.6402707084
506	0.6402319265
507	0.6401585238
508	0.6400764976
509	0.6400457887
510	0.6400013537
511	0.6399476796
512	0.6399190893
513	0.639861594
514	0.6398130978
515	0.6397612411
516	0.6397259742
517	0.6396858311
518	0.6396015817
519	0.6395581135
520	0.6395363334
521	0.639500561
522	0.6394838346
523	0.6394370565
524	0.6393985816
525	0.6393589109
526	0.6393337096
527	0.6393075592
528	0.6392712921
529	0.6392055804
530	0.639169432
531	0.6391281645
532	0.6391086174
533	0.6390588688
534	0.6390350214
535	0.6389705558
536	0.638943756
537	0.6388749784
538	0.6388273847
539	0.6387832986
540	0.6387242
541	0.6386762045
542	0.6386569054
543	0.6385356726
544	0.6384774813
545	0.6384025993
546	0.6383658436
547	0.6383277308
548	0.6382739011
549	0.6382248751
550	0.6381801437
551	0.6380924834
552	0.6380279112
553	0.6379814825
554	0.6379554396
555	0.6378943206
556	0.6378750422
557	0.6378400388
558	0.6378104848
559	0.6377184939
560	0.6376620281
561	0.6376288733
562	0.6375985907
563	0.6375572936
564	0.6374963215
565	0.6374445538
566	0.6373707118
567	0.6373044202
568	0.6372911916
569	0.6372706913
570	0.6371778275
571	0.637151495
572	0.6371052374
573	0.637074598
574	0.6370194802
575	0.6369801065
576	0.6369456586
577	0.6369378906
578	0.6368621395
579	0.6368209782
580	0.6367809552
581	0.6367593119
582	0.6367159961
583	0.6366816776
584	0.6366491545
585	0.6366078853
586	0.6365919445
587	0.6365395404
588	0.6364986453
589	0.6364383076
590	0.6364000775
591	0.6363713711
592	0.6363328226
593	0.6362842823
594	0.636235945
595	0.6362031064
596	0.6361851809
597	0.6361360777
598	0.6360845597
599	0.6360583041
600	0.636004468
601	0.6359567255
602	0.6359375765
603	0.6358921692
604	0.6358584878
605	0.6358261637
606	0.6357915756
607	0.6357132203
608	0.6356840871
609	0.6356558255
610	0.6355921252
611	0.6355344621
612	0.6354844695
613	0.6354617001
614	0.6354019294
615	0.635373751
616	0.635344264
617	0.6353216567
618	0.6352693542
619	0.6352256657
620	0.6351610909
621	0.6350990751
622	0.6350594148
623	0.6350475256
624	0.6350234928
625	0.6350057285
626	0.6349682834
627	0.6349376107
628	0.6348814827
629	0.6348063928
630	0.6347483751
631	0.634697771
632	0.6346094609
633	0.6345583617
634	0.6344622406
635	0.6344158532
636	0.6343366605
637	0.6342836598
638	0.6342689289
639	0.634185984
640	0.6341322453
641	0.6340622688
642	0.6340281279
643	0.6340134996
644	0.6339733918
645	0.6339703373
646	0.6339508545
647	0.6339084314
648	0.6338832965
649	0.6338429245
650	0.6338352044
651	0.6338144995
652	0.6337779384
653	0.6337367567
654	0.6336840803
655	0.6336202765
656	0.6335540404
657	0.6334336333
658	0.6333704537
659	0.6333287648
660	0.6333119705
661	0.6332866019
662	0.6332388196
663	0.6332224569
664	0.6332024384
665	0.6331653853
666	0.6331188474
667	0.6330743827
668	0.6329928726
669	0.6329724835
670	0.6329428304
671	0.6329252681
672	0.6328944302
673	0.6328710035
674	0.6328486147
675	0.6328032074
676	0.6327658481
677	0.6327436705
678	0.632715876
679	0.6326668561
680	0.6326464995
681	0.6326106639
682	0.6325576246
683	0.6325096423
684	0.6324787182
685	0.632453675
686	0.6324260074
687	0.63237565
688	0.632341877
689	0.6322697673
690	0.6322330699
691	0.6322049462
692	0.6321564475
693	0.6321190108
694	0.6320818682
695	0.6320255836
696	0.6320007327
697	0.6319385094
698	0.6319100455
699	0.6318428431
700	0.6318217368
701	0.6318004242
702	0.6317735755
703	0.6317089796
704	0.6316681544
705	0.6316328248
706	0.6316059692
707	0.6315837339
708	0.6315375029
709	0.631446074
710	0.6314266764
711	0.6313931636
712	0.6313275773
713	0.6312948395
714	0.6312365798
715	0.6311992309
716	0.6311419271
717	0.6311234169
718	0.6310804135
719	0.6310459542
720	0.6310107449
721	0.6309782863
722	0.6309398285
723	0.6308943413
724	0.6308335796
725	0.6308083283
726	0.63074553
727	0.6306842813
728	0.6306387046
729	0.6306154434
730	0.6305681014
731	0.6305495294
732	0.6305288545
733	0.6304783066
734	0.6304273285
735	0.6303980043
736	0.6303806048
737	0.6303415951
738	0.6303093818
739	0.6302883374
740	0.6302570676
741	0.6302329087
742	0.630176598
743	0.6301023844
744	0.630074952
745	0.6300251459
746	0.6299845321
747	0.6299461277
748	0.6298874954
749	0.629858643
750	0.6298495485
751	0.6297388721
752	0.629673436
753	0.6296493531
754	0.6295878228
755	0.6295598881
756	0.6295206325
757	0.6294545869
758	0.6294388648
759	0.629339474
760	0.6293104186
761	0.6292897581
762	0.6292609655
763	0.6292479634
764	0.6292199133
765	0.6291892976
766	0.6291238734
767	0.6291040894
768	0.6290700193
769	0.629050341
770	0.6289979166
771	0.6289543116
772	0.6289335914
773	0.628903296
774	0.6288706508
775	0.6288538687
776	0.6288239735
777	0.628806668
778	0.628733282
779	0.6286970827
780	0.6286677619
781	0.6286311065
782	0.6285707076
783	0.6285026511
784	0.6284283618
785	0.6283808734
786	0.6283440561
787	0.6283094346
788	0.628273411
789	0.6282190933
790	0.6281976474
791	0.6281261421
792	0.6280921051
793	0.628044388
794	0.6280335482
795	0.6279691754
796	0.6279281308
797	0.6279028988
798	0.6278638727
799	0.6277915389
800	0.6277698276
801	0.6277127241
802	0.6276781466
803	0.627648507
804	0.6275967054
805	0.6275849142
806	0.6275298734
807	0.6274848844
808	0.6274493168
809	0.6273927967
810	0.6273784409
811	0.6273538885
812	0.6273110363
813	0.6272957732
814	0.6272684707
815	0.6272287739
816	0.6272046463
817	0.6271875108
818	0.6271664595
819	0.6271124494
820	0.6270767631
821	0.6270360769
822	0.6269985616
823	0.6269731419
824	0.6269427134
825	0.626913594
826	0.6268782146
827	0.6268484505
828	0.6267435839
829	0.6266791239
830	0.6266288684
831	0.6265477625
832	0.6265285058
833	0.6265027266
834	0.6264619477
835	0.626355182
836	0.6263212313
837	0.6262520981
838	0.6262125864
839	0.6261664689
840	0.626130333
841	0.626108645
842	0.6260843712
843	0.6260231325
844	0.625954754
845	0.6258562661
846	0.6258460365
847	0.6257967657
848	0.6257623009
849	0.6256873261
850	0.6256473673
851	0.6255801744
852	0.6255586216
853	0.6255440829
854	0.6255016553
855	0.6254642828
856	0.6254201498
857	0.625378667
858	0.6253220167
859	0.6252885072
860	0.6252647738
861	0.6252352794
862	0.6251865782
863	0.6251382979
864	0.6251289972
865	0.6250862761
866	0.6250511685
867	0.6249303838
868	0.624902307
869	0.6248747101
870	0.6248289891
871	0.6245630205
872	0.6245241052
873	0.6245103697
874	0.6244657643
875	0.6244219818
876	0.624415305
877	0.6243893174
878	0.6243506052
879	0.6243076035
880	0.6242858837
881	0.6242216269
882	0.6241691003
883	0.6241205138
884	0.6240831349
885	0.6240306041
886	0.6240026853
887	0.6239859241
888	0.6239616136
889	0.6239520365
890	0.623923084
891	0.6238330105
892	0.6238153901
893	0.6237856243
894	0.6237062135
895	0.6236836491
896	0.6235957963
897	0.6235472631
898	0.623526256
899	0.6235154664
900	0.6234842634
901	0.6234566202
902	0.6234247465
903	0.6234091434
904	0.6233499515
905	0.6233194591
906	0.6232911356
907	0.6232565448
908	0.6232231976
909	0.6232028699
910	0.6231881112
911	0.6231528084
912	0.6231275737
913	0.6231167348
914	0.6230775839
915	0.6230527265
916	0.6229862513
917	0.6229412149
918	0.6229245542
919	0.6229016662
920	0.6228752122
921	0.622859606
922	0.6228100216
923	0.6227579277
924	0.6227408623
925	0.6227150257
926	0.6226667555
927	0.6226407424
928	0.6226064471
929	0.6225491416
930	0.6225352132
931	0.6225144446
932	0.622482551
933	0.6224622659
934	0.6224320509
935	0.6224101875
936	0.6223813825
937	0.6223467328
938	0.6223035273
939	0.6222908143
940	0.6222564772
941	0.6221983105
942	0.6221493565
943	0.6221160474
944	0.622091027
945	0.6220760972
946	0.6220385144
947	0.6220281998
948	0.622005084
949	0.6219301393
950	0.6219093293
951	0.6218934536
952	0.6218417882
953	0.6217823051
954	0.6216685017
955	0.6216299843
956	0.621599457
957	0.6215704323
958	0.6215473406
959	0.6215178097
960	0.6214767626
961	0.6214503475
962	0.6214102039
963	0.6213634205
964	0.6213240896
965	0.6213187139
966	0.621305287
967	0.6212658878
968	0.6212287011
969	0.6211795097
970	0.6211445582
971	0.6211109811
972	0.6210869378
973	0.6210489427
974	0.620991337
975	0.620960626
976	0.6209154747
977	0.6208707429
978	0.6208515163
979	0.6208164243
980	0.6207765461
981	0.6207320955
982	0.6207080808
983	0.6206896322
984	0.6206519937
985	0.6205988379
986	0.6205641872
987	0.6205254705
988	0.6204699273
989	0.6204442449
990	0.6203951723
991	0.6203206595
992	0.6202816032
993	0.6202751405
994	0.620258946
995	0.6202236917
996	0.62014478
997	0.6201181789
998	0.6200833323
999	0.62002206
