iter	Passed	Remaining
354	941825	1711204
355	944343	1708307
356	946964	1705597
357	949679	1703056
358	952289	1700326
359	955096	1697949
360	957644	1695109
361	960386	1692615
362	962831	1689597
363	965533	1687031
364	968084	1684201
365	970700	1681486
366	973326	1678789
367	976243	1676592
368	978989	1674098
369	981756	1671639
370	984545	1669216
371	986794	1665879
372	989102	1662646
373	992060	1660507
374	994386	1657311
375	997059	1654694
376	999082	1651004
377	1001619	1648167
378	1003873	1644869
379	1006549	1642265
380	1008986	1639271
381	1011681	1636699
382	1014390	1634149
383	1016770	1631068
384	1019349	1628311
385	1021603	1625037
386	1024330	1622519
387	1026920	1619782
388	1029666	1617291
389	1031882	1613969
390	1034730	1611639
391	1037589	1609323
392	1040216	1606645
393	1042832	1603949
394	1045383	1601157
395	1048112	1598635
396	1050843	1596117
397	1053481	1593457
398	1055958	1590553
399	1058588	1587883
400	1061196	1585178
401	1063462	1581966
402	1066152	1579386
403	1068961	1576982
404	1071375	1573995
405	1073884	1571150
406	1076020	1567765
407	1078355	1564672
408	1081126	1562214
409	1083578	1559295
410	1086393	1556899
411	1088978	1554173
412	1091819	1551810
413	1094103	1548658
414	1096491	1545655
415	1099156	1543047
416	1101879	1540516
417	1104454	1537781
418	1107033	1535051
419	1110066	1532948
420	1112895	1530562
421	1115590	1527989
422	1118290	1525422
423	1120493	1522180
424	1122918	1519242
425	1125605	1516661
426	1128129	1513860
427	1130688	1511106
428	1133254	1508364
429	1135880	1505701
430	1138551	1503098
431	1141352	1500666
432	1143841	1497824
433	1146684	1495446
434	1149261	1492719
435	1151900	1490073
436	1154565	1487461
437	1157222	1484837
438	1160126	1482530
439	1162824	1479958
440	1165389	1477217
441	1168147	1474719
442	1170760	1472039
443	1173386	1469376
444	1176171	1466910
445	1178751	1464189
446	1181272	1461395
447	1183789	1458597
448	1186399	1455915
449	1189216	1453487
450	1191647	1450586
451	1194056	1447661
452	1196704	1445026
453	1199415	1442469
454	1202184	1439979
455	1204951	1437485
456	1207482	1434711
457	1210154	1432104
458	1212750	1429407
459	1215300	1426657
460	1218024	1424111
461	1220657	1421458
462	1223382	1418911
463	1226058	1416308
464	1228551	1413494
465	1231159	1410813
466	1233930	1408318
467	1236585	1405691
468	1239237	1403060
469	1241566	1400063
470	1244106	1397308
471	1246753	1394673
472	1249411	1392050
473	1251883	1389221
474	1254501	1386554
475	1257047	1383808
476	1259854	1381350
477	1262844	1379090
478	1265783	1376770
479	1268828	1374564
480	1271675	1372140
481	1274348	1369528
482	1276656	1366524
483	1279230	1363807
484	1282057	1361360
485	1284973	1359005
486	1287542	1356282
487	1290357	1353817
488	1293147	1351325
489	1295729	1348616
490	1298783	1346396
491	1301577	1343904
492	1304268	1341306
493	1307002	1338751
494	1309751	1336210
